dataset,aggregation,k,threshold,exact,approx,abs_error,rel_error,analytic_bound,bound_gap
Heavy-tailed,var,4,1,41896353357403008,41896353340943000,16460008,3.9287447906469278e-10,136385290052.01247,8285.8580659263625
Heavy-tailed,sum,5,1,19176261248198.453,19176261210132.773,38065.6796875,1.9850417761218258e-09,93519.011779785156,2.4567802952036848
Heavy-tailed,avg,5,1,191762.61248198454,191762.61210132774,0.00038065679837018251,1.9850417839188749e-09,0.00093519011779785157,2.4567802855536929
Heavy-tailed,count_gt,5,1,50001242,49995108,6134,0.00012267695270449483,6394,1.0423866970981415
Heavy-tailed,min,5,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,2,2451899242436.1245
Heavy-tailed,max,5,1,1351017506442.8569,1351017506442,0.85693359375,6.3428755709187783e-13,2,2.3339031339031338
Heavy-tailed,var,5,1,41896353357403008,41896353357351624,51384,1.2264551895880109e-12,532755039.26545066,10368.111460093622
Heavy-tailed,sum,6,1,19176261248198.453,19176261248021.398,177.0546875,9.2330139440832723e-12,365.30863976478577,2.0632531390324571
Heavy-tailed,avg,6,1,191762.61248198454,191762.61248021398,1.7705606296658516e-06,9.2330856716514017e-12,3.6530863976478577e-06,2.0632371105740024
Heavy-tailed,count_gt,6,1,50001242,50001212,30,5.9998509637020614e-07,30,1
Heavy-tailed,min,6,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,0.0078125,9577731415.7661114
Heavy-tailed,max,6,1,1351017506442.8569,1351017506442.8516,0.00537109375,3.9755915259319974e-15,0.0078125,1.4545454545454546
Heavy-tailed,var,6,1,41896353357403008,41896353357402800,208,4.9646325594408032e-15,2081074.3721306634,10005.16525062819
Heavy-tailed,sum,7,1,19176261248198.453,19176261248197.746,0.70703125,3.6870130253697043e-14,1.4269868740811944,2.0182797777059989
Heavy-tailed,avg,7,1,191762.61248198454,191762.61248197747,7.07223080098629e-09,3.6880133772951712e-14,1.4269868740811944e-08,2.0177323311934159
Heavy-tailed,count_gt,7,1,50001242,50001242,0,0,0,1
Heavy-tailed,min,7,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,3.0517578125e-05,37413013.342836373
Heavy-tailed,max,7,1,1351017506442.8569,1351017506442.8569,0,0,3.0517578125e-05,inf
Heavy-tailed,var,7,1,41896353357403008,41896353357403008,0,0,8129.1967661354038,inf
Heavy-tailed,sum,8,1,19176261248198.453,19176261248198.449,0.00390625,2.0370237709224884e-16,0.0055741674768795572,1.4269868740811666
Heavy-tailed,avg,8,1,191762.61248198454,191762.61248198448,5.8207660913467407e-11,3.0354019566215403e-16,5.5741674768795571e-11,0.95763468062498136
Heavy-tailed,count_gt,8,1,50001242,50001242,0,0,0,1
Heavy-tailed,min,8,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,1.1920928955078125e-07,146144.58337045458
Heavy-tailed,max,8,1,1351017506442.8569,1351017506442.8569,0,0,1.1920928955078125e-07,inf
Heavy-tailed,var,8,1,41896353357403008,41896353357403008,0,0,31.754674867716414,inf
Zipfian,sum,1,16,250483946736.2319,237593678624,12890268112.231903,0.051461454038033795,4874295582720,378.13764153552842
Zipfian,avg,1,16,2504.8394673623188,2375.9367862399999,128.90268112231888,0.05146145403803374,48742.955827199999,378.13764153552887
Zipfian,count_gt,1,16,43335079,23333239,20001840,0.46156232921601459,22538753,1.1268339812737229
